Order ID,Product ID,Customer ID,Sales,Profit,Quantity,Discount,TimeID
IN-2012-DL128657-40918,TEC-PH-5356,DL-128657,2875,511,5,0.1,35
ID-2014-JB1600059-41873,TEC-PH-5268,JB-1600059,3200,-77,6,0.17,36
IN-2015-BF1100558-42319,TEC-PH-5269,BF-1100558,4518,632,7,0,37
IN-2015-VG2180558-42273,FUR-BO-5951,VG-2180558,5667,2097,13,0,38
ES-2013-GT14710139-41621,TEC-PH-5267,GT-14710139,5785,404,9,0,39
IT-2012-ZC2191048-41174,OFF-AP-3874,ZC-2191048,3018,377,7,0.2,40
CA-2014-AH10030140-41719,FUR-FU-4072,AH-100301408,86,38,7,0,41
IT-2014-EB1384045-41706,FUR-CH-5441,EB-1384045,2092,720,5,0.1,42
IN-2015-AP1091527-42244,FUR-CH-5380,AP-1091527,2761,110,6,0,43
IN-2015-SW2027558-42125,TEC-MA-5007,SW-2027558,2174,500,7,0,44
MX-2015-JH15820141-42356,FUR-CH-4531,JH-15820141,3473,868,11,0,45
US-2012-AH10030140-41206,OFF-BI-4372,AH-100301404,49,18,4,0.2,46
IR-2015-TG1164060-42265,TEC-CO-3678,TG-1164060,2108,527,8,0,47
CA-2012-AH10030140-41273,OFF-LA-3231,AH-100301406,18,8,3,0,33
IN-2012-PB19210127-41259,FUR-BO-5762,PB-19210127,2197,153,5,0,23
MZ-2014-DG330087-41991,TEC-PH-5269,DG-330087,2582,593,4,0,48
IN-2013-SG2047058-41424,TEC-CO-4590,SG-2047058,1526,732,4,0,49
CA-2012-AH10030140-41020,OFF-BI-2937,AH-100301406,9,3,3,0.2,25
IN-2013-GP1474058-41419,FUR-TA-3766,GP-1474058,1745,226,2,0,50
IN-2015-MW182207-42221,OFF-AP-3577,MW-182207,4191,1164,9,0.1,51
CA-2012-AH10030140-41041,OFF-PA-4014,AH-100301404,8,3,2,0,32
IN-2015-CS1246011-42074,FUR-BO-5760,CS-1246011,3063,581,7,0,52
CA-2015-AH10030140-42357,OFF-AR-3276,AH-100301406,18,2,7,0.2,53
ES-2015-MS1798048-42227,TEC-PH-5839,MS-1798048,4473,313,7,0,54
IT-2014-KC1667548-41882,TEC-PH-3130,KC-1667548,1502,225,9,0,55
IN-2015-DB1340527-42022,FUR-CH-5774,DB-1340527,5048,656,11,0,56
CA-2015-AS10045140-42007,TEC-MA-3788,AS-100451408,695,-27,2,0.5,57
IT-2015-DK13090120-42345,FUR-BO-5760,DK-13090120,2188,1050,5,0,58
IN-2015-CS1184558-42354,FUR-TA-3779,CS-1184558,1920,652,4,0,59
MX-2015-EM1420082-42328,TEC-PH-5839,EM-1420082,1704,119,4,0,60
UP-2012-DW3480137-41221,FUR-TA-3771,DW-3480137,1858,130,4,0,61
IN-2014-AS1022527-41797,FUR-CH-4530,AS-1022527,3298,1055,7,0,62
MX-2012-ST2053093-41234,OFF-AP-4497,ST-2053093,2443,121,13,0,63
CG-2014-BW106533-41727,FUR-CH-4530,BW-106533,3808,1523,8,0,64
IN-2015-LA1678059-42242,FUR-TA-3422,LA-1678059,3427,-452,7,0.47,65
ES-2013-AB10150139-41537,TEC-PH-5355,AB-10150139,3441,38,6,0.1,66
IN-2015-JH158207-42140,TEC-PH-3147,JH-158207,2863,858,5,0.1,67
CA-2015-AS10045140-42218,TEC-MA-3329,AS-100451402,1439,-263,3,0.4,68
ES-2014-BE1141048-41967,TEC-CO-3599,BE-1141048,1487,728,10,0,69
IN-2012-SZ2003527-41221,TEC-CO-6010,SZ-2003527,3200,1183,9,0,61
IN-2012-RM1937558-41209,FUR-CH-5380,RM-1937558,2300,91,5,0,70
ES-2015-HG1484545-42327,FUR-CH-4654,HG-1484545,5729,63,14,0.1,71
MO-2015-DP310586-42305,TEC-CO-3710,DP-310586,5301,2597,14,0,72
CA-2014-AS10045140-41908,FUR-BO-3176,AS-100451404,477,84,2,0.15,73
US-2015-AS10045140-42252,OFF-BI-3324,AS-100451404,88,-58,7,0.7,22
ES-2014-JB1600048-41668,TEC-PH-5268,JB-1600048,3219,965,5,0,74
ID-2013-AM1070559-41535,OFF-AP-4501,AM-1070559,2487,-269,6,0.17,75
MO-2014-AB25586-41966,OFF-AP-4745,AB-25586,2266,113,4,0,76
IN-2013-RP192707-41438,TEC-CO-3611,RP-192707,3068,1124,9,0.1,77
IN-2014-BK1126011-41940,FUR-BO-4849,BK-1126011,3728,1192,9,0,78
IN-2014-JM1525027-41985,TEC-CO-3678,JM-1525027,1581,0,6,0,79
IN-2013-GP1474058-41419,TEC-PH-5356,GP-1474058,1916,498,3,0,50
CA-2015-AS10045140-42281,FUR-TA-5066,AS-100451404,171,-6,3,0.2,80
ES-2014-NZ1856545-41975,OFF-AP-4508,NZ-1856545,2432,513,5,0.1,81
CA-2015-AS10045140-42007,OFF-BI-3308,AS-100451408,28,-21,6,0.7,57
ID-2014-SC20695102-41667,FUR-CH-5443,SC-20695102,2465,197,7,0.25,4
IN-2013-NC186257-41401,FUR-TA-3422,NC-186257,1847,738,2,0,82
ES-2014-NF183858-41970,FUR-BO-4849,NF-183858,2899,927,7,0,83
IN-2013-NZ185657-41606,FUR-CH-5774,NZ-185657,2891,96,7,0.1,84
IT-2013-PM1894045-41546,TEC-MA-5572,PM-1894045,2016,0,9,0.15,85
ES-2014-MZ1733545-41885,OFF-AP-4503,MZ-1733545,3155,34,7,0.1,86
CG-2014-HM498033-41846,TEC-PH-5268,HM-498033,3856,1465,6,0,87
IN-2015-RW195407-42327,TEC-PH-3806,RW-195407,3524,861,6,0.1,71
ES-2013-LH1715545-41444,TEC-PH-5840,LH-1715545,2167,790,4,0.15,88
MX-2013-FH1436582-41558,TEC-PH-5839,FH-1436582,2556,178,6,0,89
ES-2012-KM1666048-41129,TEC-CO-5999,KM-1666048,1469,308,5,0,90
ES-2012-PO1886545-41217,TEC-PH-3807,PO-1886545,4448,1517,8,0.15,91
US-2012-AS10045140-41116,OFF-PA-6512,AS-100451406,65,32,11,0,92
MX-2014-AB1006028-41755,FUR-BO-3891,AB-1006028,2472,914,9,0,93
IN-2014-DB130607-41999,OFF-AP-3575,DB-130607,3739,747,8,0.1,94
IT-2014-VM2168591-41711,FUR-CH-5442,VM-2168591,2570,-2211,11,0.5,95
CA-2014-AS10045140-41727,OFF-ST-4516,AS-100451408,31,7,2,0,64
ES-2013-DM1352548-41369,TEC-PH-3149,DM-1352548,2875,-1783,9,0.5,96
ES-2013-NM18520120-41634,FUR-BO-5948,NM-18520120,1741,261,4,0,97
IN-2014-LC168857-41747,TEC-CO-6012,LC-168857,1601,587,5,0.1,98
IN-2012-RO1978027-41052,OFF-AP-4738,RO-1978027,3670,367,7,0,99
CA-2015-AS10045140-42218,OFF-PA-6557,AS-100451402,36,12,7,0.2,68
ES-2014-EM1406548-41775,TEC-CO-4593,EM-1406548,1900,589,5,0,100
CA-2015-AS10045140-42007,OFF-BI-3185,AS-100451408,15,-12,5,0.7,57
IT-2012-ON1871545-40955,FUR-CH-5774,ON-1871545,4544,1868,11,0.1,101
IN-2014-VS2182027-41790,FUR-BO-3639,VS-2182027,1455,116,4,0,102
IN-2014-CM121157-41913,TEC-CO-4790,CM-121157,1943,258,6,0.1,103
CA-2015-AB10060140-42315,FUR-TA-4622,AB-100601404,2036,366,7,0,104
CA-2014-AB10060140-41884,OFF-BI-4340,AB-100601406,4355,1415,4,0.2,105
ID-2014-JK153257-41984,TEC-CO-3709,JK-153257,1695,-37,5,0.1,106
IT-2015-RP1927045-42081,TEC-CO-5998,RP-1927045,1505,-265,6,0.15,107
IN-2015-DW1354078-42357,TEC-PH-3806,DW-1354078,1954,312,3,0,53
CA-2015-AB10060140-42315,FUR-CH-4613,AB-100601404,449,-73,2,0.2,104
US-2014-AB10060140-41712,OFF-AP-4221,AB-100601408,160,44,2,0,108
CA-2015-AB10060140-42315,TEC-AC-5858,AB-100601404,108,32,3,0,104
MX-2015-GM1444037-42265,TEC-CO-3587,GM-1444037,1213,508,7,0.002,47
IN-2014-SV2081558-41968,TEC-CO-4577,SV-2081558,1590,572,5,0,109
IN-2014-MM1792027-41950,TEC-AC-3405,MM-1792027,2330,1025,9,0,110
IN-2015-JK1612059-42204,FUR-BO-5761,JK-1612059,3278,140,8,0.07,111
ID-2013-EM14200130-41502,TEC-PH-5268,EM-14200130,3741,946,7,0.17,112
CA-2015-AB10060140-42314,OFF-PA-6214,AB-100601402,67,31,10,0,113
IN-2013-PM1894059-41284,FUR-BO-5787,PM-1894059,3637,156,10,0.07,114
MX-2014-AT1043582-41667,OFF-AP-4736,AT-1043582,2455,785,7,0,4
ID-2013-AB1001527-41439,TEC-MA-6150,AB-1001527,1024,-286,8,0.5,115
CA-2015-AB10060140-42314,OFF-FA-6129,AB-100601402,167,82,3,0,113
CA-2014-AB10060140-41884,OFF-PA-6430,AB-100601406,24,11,2,0,105
MX-2013-PV1898518-41614,TEC-AC-5223,PV-1898518,2297,988,14,0,116
IT-2014-SB2029064-41887,TEC-CO-4590,SB-2029064,2671,534,7,0,117
SO-2015-SM10005116-42265,TEC-PH-5839,SM-10005116,3834,268,6,0,47
CA-2014-AB10060140-41884,OFF-PA-6430,AB-100601406,49,23,4,0,105
IN-2013-KH1633059-41489,OFF-AP-4960,KH-1633059,3501,210,8,0.17,118
IN-2015-MP181757-42347,TEC-PH-3149,MP-181757,1725,747,3,0.1,119
IN-2013-LH1702027-41572,TEC-CO-3597,LH-1702027,1583,174,5,0,120
CA-2015-AB10060140-42132,TEC-AC-5109,AB-100601404,79,28,1,0,121
ID-2014-CR126257-41878,FUR-BO-5763,CR-126257,2760,-214,7,0.1,122
IN-2012-NC1862511-41041,TEC-AC-3403,NC-1862511,3078,523,12,0,32
IT-2012-GM1468091-41215,OFF-AP-4745,GM-1468091,1983,-1784,7,0.5,30
ES-2015-RA1994545-42218,FUR-BO-3624,RA-1994545,1112,296,3,0.1,68
ES-2012-DB1306048-41171,TEC-CO-4789,DB-1306048,3616,36,10,0,123
US-2014-AB10060140-41712,FUR-FU-4762,AB-100601408,127,40,2,0,108
IN-2014-RF197357-41709,TEC-PH-5268,RF-197357,2892,160,5,0.1,124
ES-2013-JH1582048-41306,TEC-PH-3806,JH-1582048,3263,848,5,0,125
US-2014-AB10060140-41712,OFF-BI-4819,AB-100601408,46,20,4,0,108
MX-2015-DM1295551-42103,FUR-TA-5064,DM-1295551,3117,38,13,0.2,126
CA-2014-AB10060140-41881,OFF-SU-2972,AB-100601406,27,8,3,0,127
MX-2015-BE1133582-42082,OFF-AP-4745,BE-1133582,1888,887,5,0,128
IN-2014-SO2033527-41914,OFF-AP-4502,SO-2033527,3000,1080,6,0,129
ES-2014-DK12835120-41651,OFF-AP-4507,DK-12835120,3801,1444,7,0,130
SA-2015-LC7050110-42236,TEC-PH-3806,LC-7050110,5211,1146,8,0,131
IN-2012-PB19210127-41259,FUR-TA-5065,PB-19210127,1356,311,3,0,23
IN-2015-CG125207-42077,OFF-AP-4745,CG-125207,3569,674,7,0.1,132
CA-2013-AB10060140-41535,OFF-PA-6420,AB-100601404,18,8,2,0,75
ID-2015-HG1502559-42194,FUR-BO-5787,HG-1502559,2910,125,8,0.07,133
ID-2014-AD1018059-41801,FUR-CH-4532,AD-1018059,3126,-128,9,0.27,134
ES-2012-BP11155139-41130,TEC-PH-3805,BP-11155139,5276,1758,9,0.1,135
ID-2015-AA10480130-42080,TEC-PH-5840,AA-10480130,2645,0,5,0.17,136
ID-2014-RL196157-41641,FUR-BO-3639,RL-196157,1637,-36,5,0.1,137
CA-2014-AB10060140-41884,OFF-BI-2911,AB-100601406,3,1,1,0.2,105
ID-2013-SW2024559-41557,TEC-PH-5840,SW-2024559,2645,0,5,0.17,138
CA-2014-AB10060140-41884,TEC-AC-5744,AB-100601406,6,2,1,0,105
IN-2012-BW1111027-41076,FUR-TA-3420,BW-1111027,3238,-740,5,0.3,139
ES-2015-YC21895139-42097,FUR-BO-3639,YC-21895139,2291,127,7,0.1,140
MX-2012-JM1558082-41045,TEC-PH-5355,JM-1558082,2124,488,5,0,141
BO-2015-MZ733513-42046,FUR-CH-4654,MZ-733513,2757,744,6,0,142
ES-2014-JF15295120-41924,TEC-AC-4185,JF-15295120,1549,139,6,0,143
CA-2015-AB10060140-42264,OFF-PA-6596,AB-100601406,20,7,4,0.2,144
UP-2015-DJ3510137-42202,OFF-AP-4738,DJ-3510137,3146,629,6,0,145
ES-2015-MF1825045-42330,TEC-MA-4205,MF-1825045,2456,664,11,0.15,146
IT-2012-TC2129545-41058,FUR-TA-4642,TC-2129545,2228,-754,7,0.35,147
CA-2015-AB10060140-42314,OFF-PA-3114,AB-100601402,4,2,1,0,113
IN-2015-CP1234058-42202,OFF-AP-4502,CP-1234058,4001,1440,8,0,145
ES-2015-EH1412545-42245,TEC-PH-3148,EH-1412545,4876,745,9,0.15,148
IN-2013-NC183407-41634,FUR-TA-5054,NC-183407,1788,204,6,0.3,97
IN-2015-BF1100558-42319,OFF-AP-3577,BF-1100558,3622,1267,7,0,37
ID-2014-JS1603059-41760,FUR-TA-5072,JS-1603059,1242,-140,5,0.47,149
ES-2012-AM10360139-41136,TEC-PH-5354,AM-10360139,4453,1424,7,0,150
IN-2015-JF1519021-42341,FUR-TA-4706,JF-1519021,2673,1069,8,0,151
IN-2014-AB100157-41815,FUR-CH-4654,AB-100157,2046,591,5,0.1,152
ES-2014-JG15160139-41660,FUR-TA-3344,JG-15160139,5451,2071,6,0,153
CA-2015-AH10075140-42301,FUR-TA-5421,AH-100751406,637,-127,3,0.3,154
IN-2015-AG1033059-42197,OFF-AP-3574,AG-1033059,1722,539,4,0.17,155
CA-2015-AH10075140-42301,FUR-FU-3936,AH-100751406,210,50,2,0,154
ES-2015-NF1847548-42248,OFF-AP-3581,NF-1847548,1007,134,2,0.1,156
CA-2015-AH10075140-42301,FUR-TA-4943,AH-100751406,240,-13,4,0.3,154
IN-2012-DR129407-41066,OFF-AP-4966,DR-129407,4624,1644,9,0.1,157
ES-2012-NB1865548-41194,OFF-ST-6049,NB-1865548,1066,-11,6,0.1,158
IN-2014-NM1844527-41800,TEC-CO-5991,NM-1844527,957,0,4,0,159
IN-2015-TA213857-42351,OFF-AP-4508,TA-213857,4864,162,10,0.1,160
CA-2014-AH10075140-41898,OFF-BI-4338,AH-100751406,841,294,2,0.2,161
ID-2015-SC20380102-42165,OFF-AP-3580,SC-20380102,1433,-84,3,0.15,162
SF-2012-PA9060117-40954,OFF-ST-6047,PA-9060117,2784,779,14,0,163
ES-2014-RB19570120-41971,FUR-BO-5760,RB-19570120,3063,1470,7,0,164
CA-2014-AH10075140-41817,OFF-SU-5635,AH-100751404,231,11,2,0,165
CA-2015-AH10075140-42110,FUR-FU-4756,AH-100751404,196,70,5,0,166
US-2012-LH1675036-41129,TEC-PH-5839,LH-1675036,2044,-332,6,0.2,90
CA-2014-AH10075140-41991,TEC-AC-6351,AH-100751402,165,-6,3,0.2,48
IN-2013-KB1658527-41488,TEC-CO-3608,KB-1658527,1521,0,4,0,167
ES-2013-LH1715545-41444,OFF-AP-4507,LH-1715545,2443,760,5,0.1,88
CA-2015-AH1007523-42101,OFF-ST-4257,AH-1007523,137,54,1,0,168
IR-2014-MZ751560-41853,TEC-MA-4210,MZ-751560,1141,570,10,0,169
IN-2015-DM1334558-42146,OFF-ST-4266,DM-1334558,1865,802,9,0,170
ID-2012-CA1196566-40949,TEC-PH-5841,CA-1196566,6998,2939,11,0,171
ES-2014-SC20305120-41909,FUR-BO-3903,SC-20305120,1091,119,3,0,172
IN-2015-MH1811558-42157,FUR-BO-4862,MH-1811558,1094,328,3,0,173
IN-2014-KS163007-41912,FUR-BO-3640,KS-163007,1320,484,4,0.1,174
IN-2012-BG1174078-41108,TEC-PH-5356,BG-1174078,2555,664,4,0,175
RS-2015-CR2625108-42230,FUR-BO-5950,CR-2625108,3498,594,8,0,176
CA-2015-AH10075140-42301,FUR-FU-4022,AH-100751406,35,14,4,0,154
IN-2015-DK1309027-42308,TEC-CO-3611,DK-1309027,2272,977,6,0,177
IN-2014-JL1583527-41845,TEC-PH-3806,JL-1583527,5211,833,8,0,178
IN-2015-AP1072058-42284,TEC-PH-5269,AP-1072058,2582,361,4,0,179
IN-2015-CR1282058-42294,TEC-PH-5356,CR-1282058,3194,830,5,0,180
IN-2014-BF110807-41976,FUR-CH-4531,BF-110807,1704,378,4,0.1,181
IN-2015-JM15265102-42316,OFF-AP-3571,JM-15265102,1538,325,6,0.15,182
IN-2014-NM1844527-41800,FUR-CH-5378,NM-1844527,1381,593,3,0,159
IT-2012-TW2102545-41172,FUR-BO-5760,TW-2102545,1181,498,3,0.1,183
IT-2012-RB1933045-41080,FUR-CH-4530,RB-1933045,1696,734,4,0.1,184
CA-2015-AH10075140-42273,OFF-SU-3839,AH-100751406,190,-42,2,0.2,38
CA-2015-AH10075140-42144,FUR-CH-5429,AH-100751408,314,-35,3,0.2,185
SF-2015-AB10060117-42334,OFF-AP-4732,AB-10060117,1237,606,4,0,186
EG-2013-JR567038-41363,TEC-PH-5355,JR-567038,1274,140,2,0,187
MX-2012-MD1735028-41222,OFF-AP-4962,MD-1735028,3172,856,9,0,188
CA-2015-AH10075140-42301,OFF-PA-6415,AH-100751406,43,21,8,0,154
ES-2013-EB13840139-41487,OFF-AP-4743,EB-13840139,3979,1989,7,0,189
CA-2014-AH10075140-41991,OFF-PA-6577,AH-100751402,51,18,10,0.2,48
CA-2014-AH10075140-41817,OFF-FA-5459,AH-100751404,17,8,5,0,165
CA-2014-AH10075140-41817,OFF-PA-3115,AH-100751404,12,5,2,0,165
AJ-2014-JL58359-41662,FUR-TA-3358,JL-58359,2058,946,4,0,190
IN-2012-EP1391559-41049,FUR-BO-5967,EP-1391559,2539,709,7,0.07,191
ES-2015-MS17770139-42275,FUR-BO-3626,MS-17770139,2898,1420,7,0,192
IT-2012-CM1265545-41218,TEC-MA-5007,CM-1265545,1320,357,5,0.15,193
LH-2015-JC610575-42032,FUR-TA-3345,JC-610575,2171,-2750,8,0.7,194
IN-2015-GB145307-42260,TEC-CO-4593,GB-145307,4448,444,13,0.1,195
CA-2015-AH10075140-42335,OFF-AR-5327,AH-100751408,12,3,3,0,196
US-2012-JH161805-41264,TEC-PH-3149,JH-161805,2300,38,9,0.4,197
EG-2014-MT807038-41675,FUR-BO-5951,MT-807038,2615,1072,6,0,2
IN-2012-AB1010558-41270,TEC-CO-6010,AB-1010558,1066,394,3,0,27
CA-2015-AH10075140-42301,OFF-AP-4739,AH-100751406,2,0,1,0,154
LT-2012-CV280572-41025,TEC-PH-5354,CV-280572,2544,814,4,0,198
IN-2012-NH1861092-41187,FUR-TA-4645,NH-1861092,3694,886,4,0,199
ID-2014-HJ1487527-41875,FUR-TA-5065,HJ-1487527,2214,-221,7,0.3,200
MX-2014-JL1517518-41903,FUR-CH-5776,JL-1517518,1236,111,4,0,201
MX-2015-MY1829593-42355,OFF-AP-4505,MY-1829593,1805,126,5,0,202
CA-2012-AH10075140-41228,OFF-LA-5591,AH-100751404,5,2,2,0,203
CA-2013-AH10075140-41629,OFF-AR-5458,AH-100751406,3,0,2,0.2,204
CA-2015-AH10075140-42273,OFF-BI-3301,AH-100751406,8,-6,5,0.7,38
MX-2015-KC1654093-42158,OFF-AP-4507,KC-1654093,1810,54,5,0,205
MX-2015-CS1246093-42259,TEC-PH-5354,CS-1246093,2120,106,5,0,206
IN-2015-HA1492027-42111,TEC-PH-3148,HA-1492027,1275,140,2,0,207
ES-2013-MT1781545-41599,TEC-MA-5017,MT-1781545,1593,-225,7,0.15,208
ES-2015-FW1439545-42069,FUR-BO-3627,FW-1439545,1114,383,3,0.1,209
ES-2013-BH1171048-41478,TEC-PH-3807,BH-1171048,2944,1112,5,0.1,210
ID-2015-DK1289559-42315,OFF-AP-4964,DK-1289559,3309,318,7,0.17,104
MX-2015-KD1627018-42330,FUR-CH-4544,KD-1627018,897,322,9,0,146
ES-2012-SC208458-41070,FUR-BO-4848,SC-208458,2056,390,5,0,211
MX-2013-CY1274582-41531,TEC-CO-6010,CY-1274582,2365,18,10,0.002,212
IN-2012-HL150407-41237,TEC-CO-3596,HL-150407,1336,44,7,0.4,213
IN-2013-CT1199566-41496,TEC-CO-4591,CT-1199566,3038,1245,8,0,214
ES-2014-CC12370139-41718,OFF-AP-3573,CC-12370139,2698,890,9,0,215
LT-2014-GR456072-42003,TEC-CO-3688,GR-456072,3799,455,12,0,216
IN-2013-TT2107058-41551,FUR-CH-4656,TT-2107058,2756,413,6,0,217
IT-2013-PO19195120-41492,TEC-PH-3146,PO-19195120,983,-11,8,0.1,218
IN-2013-ED13885144-41549,FUR-CH-4530,ED-13885144,1719,117,5,0.27,219
IN-2015-AP1091559-42089,OFF-AP-4966,AP-1091559,1421,428,3,0.17,220
MX-2015-TM2149031-42329,TEC-CO-3597,TM-2149031,1053,441,5,0.002,221
IT-2012-AW1084091-41242,TEC-CO-4792,AW-1084091,1440,-1268,8,0.5,222
IN-2012-DP131057-41215,FUR-CH-4530,DP-131057,2544,621,6,0.1,30
CA-2015-AH10075140-42144,OFF-PA-6504,AH-100751408,27,10,7,0.2,185
RO-2013-SG10605107-41614,TEC-CO-4571,SG-10605107,1554,341,8,0,116
MX-2014-BM1178582-41976,TEC-PH-5839,BM-1178582,1278,89,3,0,181
MX-2013-FH1436582-41628,TEC-PH-3806,FH-1436582,3474,625,8,0,223
MX-2013-DK1337582-41530,TEC-PH-3148,DK-1337582,2550,357,6,0,224
CA-2015-AS10090140-42264,OFF-BI-4343,AS-100901406,538,-412,2,0.7,144
CA-2012-AS10090140-41173,FUR-CH-5430,AS-100901406,579,83,4,0.1,225
CA-2013-AS10090140-41587,FUR-TA-3427,AS-100901402,1024,215,7,0,226
TU-2013-SF10200134-41417,TEC-PH-5815,SF-10200134,934,-1331,14,0.6,227
CA-2014-AS10090140-41812,FUR-BO-5529,AS-100901406,353,-44,2,0.2,228
SG-2015-JW5220111-42108,TEC-PH-3805,JW-5220111,3908,1563,6,0,229
MX-2015-CC1210082-42245,TEC-PH-5268,CC-1210082,2142,556,5,0,148
ID-2015-RD1993092-42140,OFF-AP-4961,RD-1993092,1900,-348,6,0.4,67
CM-2013-BP123022-41621,OFF-AP-4733,BP-123022,1840,496,6,0,39
ES-2012-SA20830139-40998,FUR-BO-5950,SA-20830139,2624,446,6,0,230
IN-2013-EM1381058-41308,FUR-BO-5762,EM-1381058,3076,215,7,0,231
IN-2014-CS12175130-41788,TEC-PH-5356,CS-12175130,3181,344,6,0.17,232
IT-2013-JD16060120-41515,OFF-ST-5691,JD-16060120,1392,-139,11,0.1,233
IN-2012-GH1466527-41074,FUR-CH-5412,GH-1466527,1296,285,8,0,234
IN-2015-CM1193527-42244,OFF-AP-3578,CM-1193527,1682,487,3,0,43
MX-2012-JB1600093-41208,TEC-PH-5839,JB-1600093,1278,89,3,0,235
RS-2015-RB9465108-42082,TEC-PH-5268,RB-9465108,2570,976,4,0,128
MX-2015-RB1979518-42258,FUR-TA-3763,RB-1979518,2332,349,5,0.2,236
ID-2013-PO191957-41514,FUR-BO-5762,PO-191957,1582,-870,6,0.4,237
CA-2015-AS10090140-42264,TEC-AC-5138,AS-100901406,71,19,3,0.2,144
IN-2014-TS212057-41852,FUR-TA-5053,TS-212057,1512,498,6,0,238
CA-2014-AS10090140-41812,OFF-BI-5638,AS-100901406,186,60,6,0.2,228
SF-2015-MV8190117-42362,TEC-PH-3148,MV-8190117,2550,714,4,0,239
CA-2015-AS10090140-42264,TEC-AC-5094,AS-100901406,47,14,2,0.2,144
ES-2013-BD11560139-41327,FUR-CH-4655,BD-11560139,2285,845,5,0,240
IN-2015-PS1876059-42288,FUR-BO-3648,PS-1876059,1029,10,9,0.07,241
US-2015-FM1421551-42115,TEC-CO-4577,FM-1421551,1058,-2,5,0.002,242
IN-2014-CA1277558-41802,TEC-PH-3149,CA-1277558,5751,2817,9,0,243
ES-2014-CD1279048-41899,FUR-BO-5969,CD-1279048,2442,-244,7,0.1,244
IN-2015-NL1831092-42266,OFF-ST-6046,NL-1831092,1190,178,6,0,245
IT-2015-TB2105545-42334,OFF-AP-4502,TB-2105545,3150,-35,7,0.1,186
ES-2015-NF1847548-42248,TEC-CO-3595,NF-1847548,1599,719,5,0,156
