Order_ID,Ship_Date,Ship_Mode,Delivery_Days,Shipping_Cost,Shipping_Cost_Category,Ship_Year,Ship_Month,Ship_Day
MX-2015-JH15820141-42356,2015-12-20,Second Class,2,634.0,High,2015,12,20
US-2012-AH10030140-41206,2012-10-27,First Class,3,2.0,Low,2012,10,27
IR-2015-TG1164060-42265,2015-09-21,First Class,3,630.0,High,2015,9,21
CA-2012-AH10030140-41273,2012-12-31,First Class,1,1.0,Low,2012,12,31
IN-2012-PB19210127-41259,2012-12-19,First Class,3,627.0,High,2012,12,19
MZ-2014-DG330087-41991,2014-12-18,Same Day,0,627.0,High,2014,12,18
IN-2013-SG2047058-41424,2013-05-31,First Class,1,625.0,High,2013,5,31
CA-2012-AH10030140-41020,2012-04-23,Second Class,2,1.0,Low,2012,4,23
IN-2013-GP1474058-41419,2013-05-28,Second Class,3,616.0,High,2013,5,28
IN-2015-MW182207-42221,2015-08-06,First Class,1,614.0,High,2015,8,6
CA-2012-AH10030140-41041,2012-05-18,Standard Class,6,1.0,Low,2012,5,18
IN-2015-CS1246011-42074,2015-03-13,Second Class,2,609.0,High,2015,3,13
CA-2015-AH10030140-42357,2015-12-23,Standard Class,4,1.0,Low,2015,12,23
ES-2015-MS1798048-42227,2015-08-16,Second Class,5,604.0,High,2015,8,16
IT-2014-KC1667548-41882,2014-09-03,First Class,3,600.0,High,2014,9,3
IN-2015-DB1340527-42022,2015-01-23,Standard Class,5,595.0,High,2015,1,23
CA-2015-AS10045140-42007,2015-01-05,First Class,2,160.0,High,2015,1,5
IT-2015-DK13090120-42345,2015-12-08,First Class,1,593.0,High,2015,12,8
IN-2015-CS1184558-42354,2015-12-19,First Class,3,592.0,High,2015,12,19
MX-2015-EM1420082-42328,2015-11-20,Same Day,0,592.0,High,2015,11,20
UP-2012-DW3480137-41221,2012-11-10,First Class,2,590.0,High,2012,11,10
IN-2014-AS1022527-41797,2014-06-09,First Class,2,589.0,High,2014,6,9
MX-2012-ST2053093-41234,2012-11-22,First Class,1,589.0,High,2012,11,22
CG-2014-BW106533-41727,2014-03-31,Second Class,2,588.0,High,2014,3,31
IN-2015-LA1678059-42242,2015-08-27,First Class,1,586.0,High,2015,8,27
ES-2013-AB10150139-41537,2013-09-22,Second Class,2,585.0,High,2013,9,22
IN-2015-JH158207-42140,2015-05-18,Second Class,2,581.0,High,2015,5,18
CA-2015-AS10045140-42218,2015-08-08,Standard Class,6,103.0,High,2015,8,8
ES-2014-BE1141048-41967,2014-11-25,First Class,1,580.0,High,2014,11,25
IN-2012-SZ2003527-41221,2012-11-10,Second Class,2,576.0,High,2012,11,10
IN-2012-RM1937558-41209,2012-10-27,Same Day,0,573.0,High,2012,10,27
ES-2015-HG1484545-42327,2015-11-23,Standard Class,4,572.0,High,2015,11,23
MO-2015-DP310586-42305,2015-10-30,Second Class,2,568.0,High,2015,10,30
CA-2014-AS10045140-41908,2014-09-28,First Class,2,43.0,High,2014,9,28
US-2015-AS10045140-42252,2015-09-06,First Class,1,23.0,High,2015,9,6
ES-2014-JB1600048-41668,2014-02-05,Standard Class,7,564.0,High,2014,2,5
ID-2013-AM1070559-41535,2013-09-21,Second Class,3,562.0,High,2013,9,21
MO-2014-AB25586-41966,2014-11-23,Same Day,0,556.0,High,2014,11,23
IN-2013-RP192707-41438,2013-06-13,Same Day,0,555.0,High,2013,6,13
IN-2014-BK1126011-41940,2014-10-31,First Class,3,553.0,High,2014,10,31
IN-2014-JM1525027-41985,2014-12-14,First Class,2,550.0,High,2014,12,14
IN-2013-GP1474058-41419,2013-05-28,Second Class,3,548.0,High,2013,5,28
CA-2015-AS10045140-42281,2015-10-09,Standard Class,5,12.0,Medium,2015,10,9
ES-2014-NZ1856545-41975,2014-12-02,Same Day,0,546.0,High,2014,12,2
CA-2015-AS10045140-42007,2015-01-05,First Class,2,5.0,Medium,2015,1,5
ID-2014-SC20695102-41667,2014-01-30,First Class,2,546.0,High,2014,1,30
IN-2013-NC186257-41401,2013-05-07,Same Day,0,545.0,High,2013,5,7
ES-2014-NF183858-41970,2014-11-29,First Class,2,541.0,High,2014,11,29
IN-2013-NZ185657-41606,2013-12-02,Second Class,4,541.0,High,2013,12,2
IT-2013-PM1894045-41546,2013-09-29,Same Day,0,540.0,High,2013,9,29
ES-2014-MZ1733545-41885,2014-09-05,Second Class,2,539.0,High,2014,9,5
CG-2014-HM498033-41846,2014-08-01,Standard Class,6,533.0,High,2014,8,1
IN-2015-RW195407-42327,2015-11-25,Standard Class,6,531.0,High,2015,11,25
ES-2013-LH1715545-41444,2013-06-19,Same Day,0,531.0,High,2013,6,19
MX-2013-FH1436582-41558,2013-10-14,First Class,3,530.0,High,2013,10,14
ES-2012-KM1666048-41129,2012-08-10,First Class,2,527.0,High,2012,8,10
ES-2012-PO1886545-41217,2012-11-08,Second Class,4,527.0,High,2012,11,8
US-2012-AS10045140-41116,2012-08-01,Standard Class,6,4.0,Medium,2012,8,1
MX-2014-AB1006028-41755,2014-04-28,First Class,2,523.0,High,2014,4,28
IN-2014-DB130607-41999,2014-12-26,Same Day,0,522.0,High,2014,12,26
IT-2014-VM2168591-41711,2014-03-13,Same Day,0,520.0,High,2014,3,13
CA-2014-AS10045140-41727,2014-04-01,First Class,3,3.0,Low,2014,4,1
ES-2013-DM1352548-41369,2013-04-05,Same Day,0,516.0,High,2013,4,5
ES-2013-NM18520120-41634,2013-12-28,Second Class,2,515.0,High,2013,12,28
IN-2014-LC168857-41747,2014-04-19,First Class,1,511.0,High,2014,4,19
IN-2012-RO1978027-41052,2012-05-25,Second Class,2,510.0,High,2012,5,25
CA-2015-AS10045140-42218,2015-08-08,Standard Class,6,1.0,Low,2015,8,8
ES-2014-EM1406548-41775,2014-05-20,Second Class,4,506.0,High,2014,5,20
CA-2015-AS10045140-42007,2015-01-05,First Class,2,1.0,Low,2015,1,5
IT-2012-ON1871545-40955,2012-02-19,Second Class,3,506.0,High,2012,2,19
IN-2014-VS2182027-41790,2014-06-02,First Class,2,504.0,High,2014,6,2
IN-2014-CM121157-41913,2014-10-02,First Class,1,499.0,High,2014,10,2
CA-2015-AB10060140-42315,2015-11-14,Standard Class,7,524.0,High,2015,11,14
CA-2014-AB10060140-41884,2014-09-04,First Class,2,82.0,High,2014,9,4
ID-2014-JK153257-41984,2014-12-14,Second Class,3,498.0,High,2014,12,14
IT-2015-RP1927045-42081,2015-03-21,Second Class,3,498.0,High,2015,3,21
IN-2015-DW1354078-42357,2015-12-20,First Class,1,498.0,High,2015,12,20
CA-2015-AB10060140-42315,2015-11-14,Standard Class,7,47.0,High,2015,11,14
US-2014-AB10060140-41712,2014-03-19,Standard Class,5,13.0,Medium,2014,3,19
CA-2015-AB10060140-42315,2015-11-14,Standard Class,7,11.0,Medium,2015,11,14
MX-2015-GM1444037-42265,2015-09-18,Same Day,0,493.0,High,2015,9,18
IN-2014-SV2081558-41968,2014-11-27,First Class,2,493.0,High,2014,11,27
IN-2014-MM1792027-41950,2014-11-10,First Class,3,492.0,High,2014,11,10
IN-2015-JK1612059-42204,2015-07-23,Standard Class,4,492.0,High,2015,7,23
ID-2013-EM14200130-41502,2013-08-16,Same Day,0,491.0,High,2013,8,16
CA-2015-AB10060140-42314,2015-11-08,First Class,2,7.0,Medium,2015,11,8
IN-2013-PM1894059-41284,2013-01-14,Standard Class,4,487.0,High,2013,1,14
MX-2014-AT1043582-41667,2014-01-30,First Class,2,487.0,High,2014,1,30
ID-2013-AB1001527-41439,2013-06-17,First Class,3,487.0,High,2013,6,17
CA-2015-AB10060140-42314,2015-11-08,First Class,2,6.0,Medium,2015,11,8
CA-2014-AB10060140-41884,2014-09-04,First Class,2,6.0,Medium,2014,9,4
MX-2013-PV1898518-41614,2013-12-08,First Class,2,483.0,High,2013,12,8
IT-2014-SB2029064-41887,2014-09-07,Second Class,2,483.0,High,2014,9,7
SO-2015-SM10005116-42265,2015-09-20,First Class,2,481.0,High,2015,9,20
CA-2014-AB10060140-41884,2014-09-04,First Class,2,6.0,Medium,2014,9,4
IN-2013-KH1633059-41489,2013-08-08,Standard Class,5,479.0,High,2013,8,8
IN-2015-MP181757-42347,2015-12-11,First Class,2,479.0,High,2015,12,11
IN-2013-LH1702027-41572,2013-10-28,First Class,3,479.0,High,2013,10,28
CA-2015-AB10060140-42132,2015-05-13,Standard Class,5,5.0,Medium,2015,5,13
ID-2014-CR126257-41878,2014-08-29,Second Class,2,475.0,High,2014,8,29
IN-2012-NC1862511-41041,2012-05-16,Standard Class,4,474.0,High,2012,5,16
IT-2012-GM1468091-41215,2012-11-05,First Class,3,473.0,High,2012,11,5
ES-2015-RA1994545-42218,2015-08-03,First Class,1,472.0,High,2015,8,3
ES-2012-DB1306048-41171,2012-09-21,Second Class,2,471.0,High,2012,9,21
US-2014-AB10060140-41712,2014-03-19,Standard Class,5,3.0,Low,2014,3,19
IN-2014-RF197357-41709,2014-03-15,Standard Class,4,470.0,High,2014,3,15
ES-2013-JH1582048-41306,2013-02-04,First Class,3,469.0,High,2013,2,4
US-2014-AB10060140-41712,2014-03-19,Standard Class,5,2.0,Low,2014,3,19
MX-2015-DM1295551-42103,2015-04-13,Standard Class,4,466.0,High,2015,4,13
CA-2014-AB10060140-41881,2014-09-04,Standard Class,5,2.0,Low,2014,9,4
MX-2015-BE1133582-42082,2015-03-21,First Class,2,465.0,High,2015,3,21
IN-2014-SO2033527-41914,2014-10-04,First Class,2,465.0,High,2014,10,4
ES-2014-DK12835120-41651,2014-01-15,First Class,3,465.0,High,2014,1,15
SA-2015-LC7050110-42236,2015-08-25,Standard Class,5,463.0,High,2015,8,25
IN-2012-PB19210127-41259,2012-12-19,First Class,3,458.0,High,2012,12,19
IN-2015-CG125207-42077,2015-03-18,Standard Class,4,458.0,High,2015,3,18
CA-2013-AB10060140-41535,2013-09-24,Standard Class,6,1.0,Low,2013,9,24
ID-2015-HG1502559-42194,2015-07-13,Standard Class,4,456.0,High,2015,7,13
ID-2014-AD1018059-41801,2014-06-15,Standard Class,4,455.0,High,2014,6,15
ES-2012-BP11155139-41130,2012-08-16,Standard Class,7,454.0,High,2012,8,16
ID-2015-AA10480130-42080,2015-03-21,Standard Class,4,452.0,High,2015,3,21
ID-2014-RL196157-41641,2014-01-03,First Class,1,452.0,High,2014,1,3
CA-2014-AB10060140-41884,2014-09-04,First Class,2,1.0,Low,2014,9,4
ID-2013-SW2024559-41557,2013-10-11,First Class,1,451.0,High,2013,10,11
CA-2014-AB10060140-41884,2014-09-04,First Class,2,1.0,Low,2014,9,4
IN-2012-BW1111027-41076,2012-06-18,First Class,2,449.0,High,2012,6,18
ES-2015-YC21895139-42097,2015-04-05,First Class,2,448.0,High,2015,4,5
MX-2012-JM1558082-41045,2012-05-19,Second Class,3,447.0,High,2012,5,19
BO-2015-MZ733513-42046,2015-02-15,Second Class,4,446.0,High,2015,2,15
ES-2014-JF15295120-41924,2014-10-12,Same Day,0,443.0,High,2014,10,12
CA-2015-AB10060140-42264,2015-09-22,Standard Class,5,1.0,Low,2015,9,22
UP-2015-DJ3510137-42202,2015-07-19,Second Class,2,443.0,High,2015,7,19
ES-2015-MF1825045-42330,2015-11-28,Standard Class,6,442.0,High,2015,11,28
IT-2012-TC2129545-41058,2012-06-01,First Class,3,440.0,High,2012,6,1
CA-2015-AB10060140-42314,2015-11-08,First Class,2,1.0,Low,2015,11,8
IN-2015-CP1234058-42202,2015-07-20,First Class,3,439.0,High,2015,7,20
ES-2015-EH1412545-42245,2015-09-03,Standard Class,5,439.0,High,2015,9,3
IN-2013-NC183407-41634,2013-12-26,Same Day,0,439.0,High,2013,12,26
IN-2015-BF1100558-42319,2015-11-15,Standard Class,4,438.0,High,2015,11,15
ID-2014-JS1603059-41760,2014-05-04,Second Class,3,437.0,High,2014,5,4
ES-2012-AM10360139-41136,2012-08-20,Standard Class,5,433.0,High,2012,8,20
IN-2015-JF1519021-42341,2015-12-07,Standard Class,4,432.0,High,2015,12,7
IN-2014-AB100157-41815,2014-06-29,Standard Class,4,432.0,High,2014,6,29
ES-2014-JG15160139-41660,2014-01-24,Second Class,3,432.0,High,2014,1,24
CA-2015-AH10075140-42301,2015-10-25,First Class,1,188.0,High,2015,10,25
IN-2015-AG1033059-42197,2015-07-14,Second Class,2,430.0,High,2015,7,14
CA-2015-AH10075140-42301,2015-10-25,First Class,1,79.0,High,2015,10,25
ES-2015-NF1847548-42248,2015-09-01,Same Day,0,428.0,High,2015,9,1
CA-2015-AH10075140-42301,2015-10-25,First Class,1,68.0,High,2015,10,25
IN-2012-DR129407-41066,2012-06-10,Second Class,4,427.0,High,2012,6,10
ES-2012-NB1865548-41194,2012-10-12,Same Day,0,427.0,High,2012,10,12
IN-2014-NM1844527-41800,2014-06-10,Same Day,0,427.0,High,2014,6,10
IN-2015-TA213857-42351,2015-12-17,Standard Class,4,426.0,High,2015,12,17
CA-2014-AH10075140-41898,2014-09-21,Standard Class,5,57.0,High,2014,9,21
ID-2015-SC20380102-42165,2015-06-11,First Class,1,424.0,High,2015,6,11
SF-2012-PA9060117-40954,2012-02-16,First Class,1,422.0,High,2012,2,16
ES-2014-RB19570120-41971,2014-12-04,Standard Class,6,419.0,High,2014,12,4
CA-2014-AH10075140-41817,2014-06-27,Same Day,0,43.0,High,2014,6,27
CA-2015-AH10075140-42110,2015-04-19,First Class,3,36.0,High,2015,4,19
US-2012-LH1675036-41129,2012-08-08,Same Day,0,417.0,High,2012,8,8
CA-2014-AH10075140-41991,2014-12-22,Standard Class,4,11.0,Medium,2014,12,22
IN-2013-KB1658527-41488,2013-08-04,First Class,2,416.0,High,2013,8,4
ES-2013-LH1715545-41444,2013-06-19,Same Day,0,416.0,High,2013,6,19
CA-2015-AH1007523-42101,2015-04-12,Standard Class,5,11.0,Medium,2015,4,12
IR-2014-MZ751560-41853,2014-08-02,Same Day,0,415.0,High,2014,8,2
IN-2015-DM1334558-42146,2015-05-25,Second Class,3,413.0,High,2015,5,25
ID-2012-CA1196566-40949,2012-02-15,Standard Class,5,413.0,High,2012,2,15
ES-2014-SC20305120-41909,2014-09-27,Same Day,0,411.0,High,2014,9,27
IN-2015-MH1811558-42157,2015-06-04,First Class,2,411.0,High,2015,6,4
IN-2014-KS163007-41912,2014-10-03,First Class,3,410.0,High,2014,10,3
IN-2012-BG1174078-41108,2012-07-19,First Class,1,410.0,High,2012,7,19
RS-2015-CR2625108-42230,2015-08-16,Second Class,2,410.0,High,2015,8,16
CA-2015-AH10075140-42301,2015-10-25,First Class,1,8.0,Medium,2015,10,25
IN-2015-DK1309027-42308,2015-11-03,First Class,3,406.0,High,2015,11,3
IN-2014-JL1583527-41845,2014-07-30,Standard Class,5,404.0,High,2014,7,30
IN-2015-AP1072058-42284,2015-10-11,Standard Class,4,404.0,High,2015,10,11
IN-2015-CR1282058-42294,2015-10-21,Standard Class,4,403.0,High,2015,10,21
IN-2014-BF110807-41976,2014-12-06,Second Class,3,403.0,High,2014,12,6
IN-2015-JM15265102-42316,2015-11-10,First Class,2,403.0,High,2015,11,10
IN-2014-NM1844527-41800,2014-06-10,Same Day,0,403.0,High,2014,6,10
IT-2012-TW2102545-41172,2012-09-22,Second Class,2,401.0,High,2012,9,22
IT-2012-RB1933045-41080,2012-06-23,First Class,3,401.0,High,2012,6,23
CA-2015-AH10075140-42273,2015-09-29,First Class,3,8.0,Medium,2015,9,29
CA-2015-AH10075140-42144,2015-05-25,Second Class,5,6.0,Medium,2015,5,25
SF-2015-AB10060117-42334,2015-11-29,Second Class,3,400.0,High,2015,11,29
EG-2013-JR567038-41363,2013-04-01,First Class,2,399.0,High,2013,4,1
MX-2012-MD1735028-41222,2012-11-14,Second Class,5,399.0,High,2012,11,14
CA-2015-AH10075140-42301,2015-10-25,First Class,1,5.0,Medium,2015,10,25
ES-2013-EB13840139-41487,2013-08-06,Second Class,5,398.0,High,2013,8,6
CA-2014-AH10075140-41991,2014-12-22,Standard Class,4,4.0,Medium,2014,12,22
CA-2014-AH10075140-41817,2014-06-27,Same Day,0,4.0,Medium,2014,6,27
CA-2014-AH10075140-41817,2014-06-27,Same Day,0,2.0,Low,2014,6,27
AJ-2014-JL58359-41662,2014-01-27,Standard Class,4,393.0,High,2014,1,27
IN-2012-EP1391559-41049,2012-05-24,Second Class,4,393.0,High,2012,5,24
ES-2015-MS17770139-42275,2015-10-01,First Class,3,393.0,High,2015,10,1
IT-2012-CM1265545-41218,2012-11-07,First Class,2,390.0,High,2012,11,7
LH-2015-JC610575-42032,2015-01-30,Second Class,2,390.0,High,2015,1,30
IN-2015-GB145307-42260,2015-09-19,Standard Class,6,386.0,High,2015,9,19
CA-2015-AH10075140-42335,2015-12-01,Standard Class,4,1.0,Low,2015,12,1
US-2012-JH161805-41264,2012-12-23,First Class,2,386.0,High,2012,12,23
EG-2014-MT807038-41675,2014-02-07,Second Class,2,384.0,High,2014,2,7
IN-2012-AB1010558-41270,2012-12-28,First Class,1,383.0,High,2012,12,28
CA-2015-AH10075140-42301,2015-10-25,First Class,1,1.0,Low,2015,10,25
LT-2012-CV280572-41025,2012-04-29,First Class,3,383.0,High,2012,4,29
IN-2012-NH1861092-41187,2012-10-10,Standard Class,5,382.0,High,2012,10,10
ID-2014-HJ1487527-41875,2014-08-26,Second Class,2,382.0,High,2014,8,26
MX-2014-JL1517518-41903,2014-09-24,Second Class,3,381.0,High,2014,9,24
MX-2015-MY1829593-42355,2015-12-19,First Class,2,381.0,High,2015,12,19
CA-2012-AH10075140-41228,2012-11-21,Standard Class,6,1.0,Low,2012,11,21
CA-2013-AH10075140-41629,2013-12-23,Second Class,2,1.0,Low,2013,12,23
CA-2015-AH10075140-42273,2015-09-29,First Class,3,1.0,Low,2015,9,29
MX-2015-KC1654093-42158,2015-06-07,Standard Class,4,378.0,High,2015,6,7
MX-2015-CS1246093-42259,2015-09-14,First Class,2,377.0,High,2015,9,14
IN-2015-HA1492027-42111,2015-04-17,Same Day,0,377.0,High,2015,4,17
ES-2013-MT1781545-41599,2013-11-24,Second Class,3,377.0,High,2013,11,24
ES-2015-FW1439545-42069,2015-03-08,First Class,2,376.0,High,2015,3,8
ES-2013-BH1171048-41478,2013-07-28,Standard Class,5,376.0,High,2013,7,28
ID-2015-DK1289559-42315,2015-11-09,First Class,2,374.0,High,2015,11,9
MX-2015-KD1627018-42330,2015-11-24,First Class,2,374.0,High,2015,11,24
ES-2012-SC208458-41070,2012-06-13,First Class,3,372.0,High,2012,6,13
MX-2013-CY1274582-41531,2013-09-19,Standard Class,5,372.0,High,2013,9,19
IN-2012-HL150407-41237,2012-11-24,Same Day,0,371.0,High,2012,11,24
IN-2013-CT1199566-41496,2013-08-12,First Class,2,371.0,High,2013,8,12
ES-2014-CC12370139-41718,2014-03-23,Second Class,3,369.0,High,2014,3,23
LT-2014-GR456072-42003,2015-01-04,Standard Class,5,369.0,High,2015,1,4
IN-2013-TT2107058-41551,2013-10-09,Standard Class,5,369.0,High,2013,10,9
IT-2013-PO19195120-41492,2013-08-07,First Class,1,369.0,High,2013,8,7
IN-2013-ED13885144-41549,2013-10-02,Same Day,0,368.0,High,2013,10,2
IN-2015-AP1091559-42089,2015-03-29,First Class,3,367.0,High,2015,3,29
MX-2015-TM2149031-42329,2015-11-21,Same Day,0,367.0,High,2015,11,21
IT-2012-AW1084091-41242,2012-11-30,First Class,1,367.0,High,2012,11,30
IN-2012-DP131057-41215,2012-11-04,Second Class,2,366.0,High,2012,11,4
CA-2015-AH10075140-42144,2015-05-25,Second Class,5,1.0,Low,2015,5,25
RO-2013-SG10605107-41614,2013-12-06,Same Day,0,366.0,High,2013,12,6
MX-2014-BM1178582-41976,2014-12-04,First Class,1,365.0,High,2014,12,4
MX-2013-FH1436582-41628,2013-12-24,Standard Class,4,365.0,High,2013,12,24
MX-2013-DK1337582-41530,2013-09-15,Second Class,2,365.0,High,2013,9,15
CA-2015-AS10090140-42264,2015-09-19,First Class,2,209.0,High,2015,9,19
CA-2012-AS10090140-41173,2012-09-28,Standard Class,7,64.0,High,2012,9,28
CA-2013-AS10090140-41587,2013-11-13,Standard Class,4,62.0,High,2013,11,13
TU-2013-SF10200134-41417,2013-05-26,First Class,3,363.0,High,2013,5,26
CA-2014-AS10090140-41812,2014-06-27,Standard Class,5,48.0,High,2014,6,27
SG-2015-JW5220111-42108,2015-04-17,Second Class,3,363.0,High,2015,4,17
MX-2015-CC1210082-42245,2015-09-02,Standard Class,4,363.0,High,2015,9,2
ID-2015-RD1993092-42140,2015-05-18,Second Class,2,360.0,High,2015,5,18
CM-2013-BP123022-41621,2013-12-15,First Class,2,359.0,High,2013,12,15
ES-2012-SA20830139-40998,2012-04-03,Standard Class,4,359.0,High,2012,4,3
IN-2013-EM1381058-41308,2013-02-07,Second Class,4,359.0,High,2013,2,7
IN-2014-CS12175130-41788,2014-06-01,Second Class,3,359.0,High,2014,6,1
IT-2013-JD16060120-41515,2013-09-01,First Class,3,358.0,High,2013,9,1
IN-2012-GH1466527-41074,2012-06-16,First Class,2,358.0,High,2012,6,16
IN-2015-CM1193527-42244,2015-08-31,First Class,3,358.0,High,2015,8,31
MX-2012-JB1600093-41208,2012-10-27,First Class,1,358.0,High,2012,10,27
RS-2015-RB9465108-42082,2015-03-23,Second Class,4,357.0,High,2015,3,23
MX-2015-RB1979518-42258,2015-09-18,Standard Class,7,357.0,High,2015,9,18
ID-2013-PO191957-41514,2013-08-28,Same Day,0,357.0,High,2013,8,28
CA-2015-AS10090140-42264,2015-09-19,First Class,2,16.0,Medium,2015,9,19
IN-2014-TS212057-41852,2014-08-04,Second Class,3,356.0,High,2014,8,4
CA-2014-AS10090140-41812,2014-06-27,Standard Class,5,15.0,Medium,2014,6,27
SF-2015-MV8190117-42362,2015-12-27,First Class,3,355.0,High,2015,12,27
CA-2015-AS10090140-42264,2015-09-19,First Class,2,13.0,Medium,2015,9,19
ES-2013-BD11560139-41327,2013-02-25,First Class,3,355.0,High,2013,2,25
IN-2015-PS1876059-42288,2015-10-13,Second Class,2,354.0,High,2015,10,13
US-2015-FM1421551-42115,2015-04-23,Second Class,2,354.0,High,2015,4,23
IN-2014-CA1277558-41802,2014-06-17,Standard Class,5,353.0,High,2014,6,17
ES-2014-CD1279048-41899,2014-09-20,First Class,3,353.0,High,2014,9,20
IN-2015-NL1831092-42266,2015-09-19,Same Day,0,353.0,High,2015,9,19
IT-2015-TB2105545-42334,2015-12-03,Standard Class,7,353.0,High,2015,12,3
ES-2015-NF1847548-42248,2015-09-01,Same Day,0,352.0,High,2015,9,1
IN-2015-KD1649527-42175,2015-06-26,Standard Class,6,352.0,High,2015,6,26
HU-2015-EH412557-42300,2015-10-25,First Class,2,352.0,High,2015,10,25
IN-2012-KB1660058-41136,2012-08-19,Standard Class,4,351.0,High,2012,8,19
MX-2015-CS1246093-42259,2015-09-14,First Class,2,351.0,High,2015,9,14
CA-2015-AS10090140-42096,2015-04-05,Second Class,3,12.0,Medium,2015,4,5
ES-2015-MG1769564-42018,2015-01-16,First Class,2,350.0,High,2015,1,16
ID-2015-VF21715102-42321,2015-11-15,Second Class,2,350.0,High,2015,11,15
ID-2014-AM1070559-41803,2014-06-13,Same Day,0,350.0,High,2014,6,13
CA-2015-AS10090140-42264,2015-09-19,First Class,2,5.0,Medium,2015,9,19
IN-2015-BP11290113-42269,2015-09-25,Second Class,3,349.0,High,2015,9,25
AO-2012-HZ49504-40916,2012-01-13,Standard Class,5,349.0,High,2012,1,13
CA-2012-AS10090140-41173,2012-09-28,Standard Class,7,5.0,Medium,2012,9,28
